"date","close","volume","open","high","low"
"2016/07/01","2350.3220","0.0000","2350.9690","2362.3970","2347.7480"
"2016/06/30","2367.3100","0.0000","2334.4350","2367.3300","2326.4160"
"2016/06/29","2327.8180","0.0000","2298.2830","2334.0220","2292.9340"
"2016/06/28","2274.0360","0.0000","2249.3380","2276.3080","2248.7250"
"2016/06/27","2217.9720","0.0000","2277.7530","2278.4160","2206.1840"
"2016/06/24","2302.9410","0.0000","2321.4790","2365.4420","2301.3970"
"2016/06/23","2426.0480","0.0000","2395.9510","2426.0580","2392.7520"
"2016/06/22","2368.6420","0.0000","2374.4810","2390.4890","2366.4830"
"2016/06/21","2376.4840","0.0000","2367.3880","2381.0050","2366.2520"
"2016/06/20","2361.1740","0.0000","2369.3190","2383.2390","2359.1590"
"2016/06/17","2333.7300","0.0000","2343.9070","2348.8620","2322.1910"
"2016/06/16","2351.6580","0.0000","2329.9900","2354.0690","2313.3150"
"2016/06/15","2344.5380","0.0000","2353.9140","2357.2680","2342.4300"
"2016/06/14","2347.5320","0.0000","2339.0470","2355.2560","2328.4760"
"2016/06/13","2343.4020","0.0000","2343.3750","2370.5060","2341.4490"
"2016/06/10","2354.2520","0.0000","2374.1050","2374.3180","2347.9900"
"2016/06/09","2395.1130","0.0000","2384.7950","2398.2270","2378.9570"
"2016/06/08","2398.6890","0.0000","2398.8350","2402.8310","2390.9150"
"2016/06/07","2396.7010","0.0000","2392.6630","2401.4590","2389.7060"
"2016/06/06","2383.7510","0.0000","2387.7450","2393.5890","2378.8210"
"2016/06/03","2384.0640","0.0000","2395.1330","2397.3960","2371.6630"
"2016/06/02","2397.8840","0.0000","2385.9010","2397.8840","2378.2090"
"2016/06/01","2393.6280","0.0000","2378.1700","2397.4070","2374.5090"
"2016/05/31","2392.0080","0.0000","2388.3020","2393.5260","2378.4330"
"2016/05/27","2382.7130","0.0000","2363.8690","2382.9150","2361.8210"
"2016/05/26","2364.4330","0.0000","2351.5200","2367.1090","2350.2050"
"2016/05/25","2354.5880","0.0000","2356.0100","2364.2670","2347.9150"
"2016/05/24","2348.5960","0.0000","2304.2610","2350.2060","2304.2140"
"2016/05/23","2288.6090","0.0000","2288.2410","2301.6950","2287.8340"
"2016/05/20","2282.8260","0.0000","2256.1590","2285.8670","2256.1590"
"2016/05/19","2236.2430","0.0000","2238.7280","2251.2870","2218.0230"
"2016/05/18","2246.7210","0.0000","2218.0890","2259.5670","2217.9140"
"2016/05/17","2224.5210","0.0000","2233.1520","2247.5310","2219.0570"
"2016/05/16","2236.9610","0.0000","2208.5350","2248.3830","2206.9140"
"2016/05/13","2202.9750","0.0000","2199.7920","2222.1490","2198.4460"
"2016/05/12","2196.2940","0.0000","2223.8990","2225.7240","2177.8170"
